seed,mode,num_samples,prob_mean,prob_std,prob_min,prob_max,ego_step_mean,ego_step_max,ego_endpoint_disp,adv_step_mean,adv_step_max,adv_endpoint_disp
123,no_collision_scale1p0,32,0.1549447609577328,0.08505341437356524,0.06956522911787033,0.4318879544734955,1.183788153808564,2.477261772379279,56.94673413038254,0.6753477556630969,1.7230087984353304,31.688939347863197
123,unguided,32,0.19320854311808944,0.1474934268229887,0.06959693133831024,0.6607471108436584,1.1330968542024493,2.368059176951647,54.23502314090729,0.6785078151151538,1.678373347967863,31.954047054052353
123,collision_scale0p5,32,0.20365422288887203,0.16431393277268325,0.06960480660200119,0.7398226857185364,1.115225275978446,2.3639428419992328,53.37493474781513,0.68363690469414,1.671590892598033,32.22742609679699
123,collision_scale1p0,32,0.2082128832116723,0.16564668477278321,0.06961821019649506,0.7394278645515442,1.0958983399905264,2.3454179419204593,52.32363203167915,0.6895280792377889,1.6740051144734025,32.543647572398186
123,collision_scale2p0,32,0.2238748564850539,0.1735705978953541,0.06964927911758423,0.7431895732879639,1.0660602590069175,2.309715826995671,50.58906714618206,0.6960698463954031,1.6834816886112094,32.90296679735184
123,collision_scale3p0,32,0.2544882830698043,0.18051158973222678,0.06968951225280762,0.7490634918212891,1.0329070682637393,2.281008616089821,48.72273300588131,0.7051731031388044,1.7012881441041827,33.38311484456062
231,no_collision_scale1p0,32,0.15254502836614847,0.09275500394074959,0.06784438341856003,0.48316508531570435,1.2621453870087862,4.143160512670875,58.85883352160454,0.848209525924176,3.0195451946929097,39.56856659054756
231,unguided,32,0.16530565079301596,0.10143233457993588,0.06811635196208954,0.5155016779899597,1.2161034923046827,3.9590328820049763,56.51833748817444,0.8410598984919488,2.9855993455275893,39.263530135154724
231,collision_scale0p5,32,0.20267580333165824,0.16287806595281168,0.06826865673065186,0.7417175769805908,1.1910198163241148,3.8470372641459107,55.14900827407837,0.8410781677812338,2.9784832717850804,39.2504526078701
231,collision_scale1p0,32,0.21389242564328015,0.17780905178291373,0.06844139099121094,0.7086763381958008,1.1736115938983858,3.7672963980585337,54.29947520792484,0.8399890279397368,2.9727859050035477,39.17640793323517
231,collision_scale2p0,32,0.2288589950185269,0.19319077352517983,0.06879875808954239,0.705586314201355,1.1385035403072834,3.6454129461199045,52.49763870239258,0.8436444569379091,2.976309534162283,39.21924942731857
231,collision_scale3p0,32,0.2567448203917593,0.20698769318219454,0.06919068098068237,0.78748619556427,1.103357189334929,3.5440208204090595,50.5719119310379,0.852333215996623,3.0039428854361176,39.839246436953545
777,no_collision_scale1p0,32,0.17250190302729607,0.13337054614590804,0.06859426945447922,0.6497218608856201,1.2618962936103344,4.189853399991989,58.69324862957001,0.8286728376988322,3.2681361492723227,37.57009357959032
777,unguided,32,0.18399522546678782,0.1318532602339693,0.06861332803964615,0.6351504921913147,1.1963682463392615,4.02487301081419,55.74863302707672,0.8386100144125521,3.2428666297346354,38.28004763275385
777,collision_scale0p5,32,0.1978731646668166,0.14491552153599602,0.0686216652393341,0.6361730098724365,1.1743331695906818,3.9559679608792067,54.7930474281311,0.8418972273357213,3.211500633507967,38.74507183581591
777,collision_scale1p0,32,0.20647714682854712,0.15451829974307943,0.06862951070070267,0.6417281627655029,1.159044133964926,3.90651295427233,54.02959391474724,0.8423452102579176,3.1959308674558997,38.89675286412239
777,collision_scale2p0,32,0.2290948627050966,0.17472197388401475,0.0686320886015892,0.6600369215011597,1.1299112006090581,3.8173286989331245,52.51531973481178,0.8424888513982296,3.173497075214982,39.03411892056465
777,collision_scale3p0,32,0.2568080814089626,0.1935747712611427,0.06865081936120987,0.752772867679596,1.1017335783690214,3.744343899190426,51.09244093298912,0.8462474113330245,3.167517705820501,39.28099335730076
3407,no_collision_scale1p0,32,0.16734466003254056,0.09249378709715288,0.06882937252521515,0.4136130213737488,1.1878379448316991,3.455658884719014,55.71365267038345,0.7067084512673318,2.1193166645243764,32.597580924630165
3407,unguided,32,0.20023180008865893,0.14704737134640072,0.06940317898988724,0.7447894811630249,1.117257643956691,3.31386283878237,51.90162245929241,0.730974848382175,2.155851642601192,33.909308552742004
3407,collision_scale0p5,32,0.2369969238061458,0.18874526567327807,0.0694279819726944,0.7416147589683533,1.0909199793823063,3.2752026580274105,50.56724056601524,0.7401348892599344,2.1765292529016733,34.39451342076063
3407,collision_scale1p0,32,0.2503162380307913,0.19588005077309847,0.06944916397333145,0.7471566200256348,1.078302575275302,3.2678137607872486,49.94906035065651,0.7451003892347217,2.1915642581880093,34.66314335912466
3407,collision_scale2p0,32,0.26849379879422486,0.18979205836443294,0.0694781020283699,0.7375872135162354,1.043257904238999,3.255380008369684,47.922938853502274,0.7543022930622101,2.217042270116508,35.17606859654188
3407,collision_scale3p0,32,0.3007593050133437,0.20561997863357362,0.06951485574245453,0.7408820390701294,1.013432003557682,3.2755272816866636,46.0544827580452,0.7633628053590655,2.2508810674771667,35.68050377070904
